rt,url,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,test_part,utt,boxes_type,left_box,right_box,responses,subid,selected_box,accuracy
22685.00000005588,recaptcha.html,external-html,0,22879,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,abhc_isvr_hinp,NA,NA
13689.000000013039,consent/consent.html,external-html,1,37208,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,abhc_isvr_hinp,NA,NA
2827.999999979511,NA,html-button-response,2,40043,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,abhc_isvr_hinp,,0
24358.00000000745,NA,html-button-response,3,66409,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,abhc_isvr_hinp,,0
10770.999999949709,NA,html-button-response,4,77688,0.0-3.0-1.0,"<p>Dax has two boxes. <br> He opens one box and looks inside. <br><br>Then, Dax says, <i>""Bado mep.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,simple_utt,NA,NA,NA,NA,abhc_isvr_hinp,,0
11876.99999997858,NA,html-button-response,5,90073,0.0-3.0-2.0,"<p>Then, Dax opens the other box and looks inside. <br><br>He says, <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,complex_utt,NA,NA,NA,NA,abhc_isvr_hinp,,0
13619.000000064261,NA,html-button-response,6,104209,0.0-3.0-3.0,<p>Here are Dax's boxes.<br></p><div style='width: 700px;'><div style='float: center;'><img width = '250px' src='img/num_objects/box_2.png'></img><img width = '250px' src='img/num_objects/box_1.png'></img></div></div>,0,NA,NA,NA,NA,NA,NA,abhc_isvr_hinp,NA,NA
27672.00000002049,NA,html-button-response,7,132388,0.0-3.0-4.0,"<p>Remember, Dax looked in one box and said <i>""Bado mep.""</i></p><p>Then Dax looked in the other box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Bado mep.""</i>?</p><div style='width: 700px;'></div>",0,box_selection,simple_utt,num_objects,box_2,box_1,NA,abhc_isvr_hinp,box_2,0
6593.999999924563,NA,html-button-response,8,139489,0.0-3.0-5.0,"<p>Remember, Dax looked in one box and said <i>""Bado mep.""</i></p><p>Then Dax looked in the other box and said <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><p>Which box do you think Dax was looking in when he said<br><i>""Toba zem zorp bidaku midu osh gipu.""</i>?</p><div style='width: 700px;'></div>",1,box_selection,complex_utt,num_objects,box_2,box_1,NA,abhc_isvr_hinp,box_1,0
22898.999999975786,NA,survey-text,9,162902,0.0-4.0,NA,NA,comment,NA,NA,NA,NA,bado map was higher,abhc_isvr_hinp,,0
3463.9999999199063,NA,html-button-response,10,166376,0.0-5.0,<p>This is the end of the study. Thank you for participating!</p>,0,NA,NA,NA,NA,NA,NA,abhc_isvr_hinp,NA,NA
12326.700000005076,recaptcha.html,external-html,0,12352,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,aeae_ygjx_ljzz,NA,NA
16258.699999991222,consent/consent.html,external-html,1,29016,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,aeae_ygjx_ljzz,NA,NA
3313.9000000082888,NA,html-button-response,2,32336,0.0-2.0,"<p>In this experiment, you will see some aliens talk and make judgments about what they are talking about.",0,setup,NA,NA,NA,NA,NA,aeae_ygjx_ljzz,,0
10025.599999993574,NA,html-button-response,3,44367,0.0-3.0-0.0,"<p>This is Dax the alien. He speaks an alien language.<br><br>He says, <i> ""Difu Dax midaku.""</i><br>That means ""Hello, my name is Dax.""</p><br><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div></div><br>",0,setup,NA,NA,NA,NA,NA,aeae_ygjx_ljzz,,0
14274.699999994482,NA,html-button-response,4,59149,0.0-3.0-1.0,"<p>Dax has two boxes. <br> He opens one box and looks inside. <br><br>Then, Dax says, <i>""Toba zem zorp bidaku midu osh gipu.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,complex_utt,NA,NA,NA,NA,aeae_ygjx_ljzz,,0
9698.499999998603,NA,html-button-response,5,69356,0.0-3.0-2.0,"<p>Then, Dax opens the other box and looks inside. <br><br>He says, <i>""Bado mep.""</i></p><div style='width: 700px;'><div style='float: center;'><img src='img/alien1.png' width='250' height='300'></img></div><div style='float: center;'><img src='img/grey_box.png'></img><img src='img/grey_box.png'></img></div></div><br>",0,setup,simple_utt,NA,NA,NA,NA,aeae_ygjx_ljzz,,0
7203.50000000326,NA,html-button-response,6,77065,0.0-3.0-3.0,<p>Here are Dax's boxes.<br></p><div style='width: 700px;'><div style='float: center;'><img width = '250px' src='img/num_types/box_1.png'></img><img width = '250px' src='img/num_types/box_2.png'></img></div></div>,0,NA,NA,NA,NA,NA,NA,aeae_ygjx_ljzz,NA,NA
