rt,button_pressed,test_part,left_utt,right_utt,box,obj,responses,subid,selected_utt,accuracy
12889.094999991357,1,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,simplenovel.png,,1,simple_utt,0
8719.22500000801,0,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,complex.png,,1,complex_utt,0
21621.240000007674,NA,comment,,,,,It has the same color as the lost,1,,0
30137.234999914654,0,check,,,,,,1,,0
1716.264999937266,0,,,,,,,1,,0
7902.280000000246,0,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,simplenovel.png,,2,simple_utt,0
1759.1750000010506,0,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,complex.png,,2,simple_utt,1
13715.079999999944,NA,comment,,,,,bade mep,2,,0
10619.994999999108,0,check,,,,,,2,,0
1193.0849999989732,0,,,,,,,2,,0
11519.06500000041,1,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,simplenovel.png,,3,simple_utt,0
2077.960000024177,0,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,complex.png,,3,complex_utt,0
59860.575000057,NA,comment,,,,,"the one with the longest dialogue described more about which item he lost, while the one with the shorter dialogue had a brief description of the plain item",3,,0
3476.0699999751523,0,check,,,,,,3,,0
1665.1749999728054,0,,,,,,,3,,0
4593.7749999866355,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,4,simple_utt,0
30401.000000012573,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complex.png,,4,complex_utt,0
15445.134999987204,NA,comment,,,,,like,4,,0
4862.2899999900255,0,check,,,,,,4,,0
2939.0000000130385,0,,,,,,,4,,0
2304.8799999960465,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complex.png,,5,complex_utt,0
3514.8800000024494,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,5,simple_utt,0
16471.749999996973,NA,comment,,,,,I think that was a right answer,5,,0
2392.984999998589,0,check,,,,,,5,,0
1281.344999995781,0,,,,,,,5,,0
5888.819999992847,1,obj_selection,simple_utt,complex_utt,img/novelbox4c.png,simplenovel.png,,6,complex_utt,1
2257.515000004787,0,obj_selection,simple_utt,complex_utt,img/novelbox4c.png,complex.png,,6,simple_utt,1
23128.8399999612,NA,comment,,,,,"I chose the alien that spoke longer because there are similar shaped objects to the one they picked, so they had to use more words to describe it more specifically.",6,,0
2019.8749999981374,0,check,,,,,,6,,0
786.3750000251457,0,,,,,,,6,,0
3442.240000003949,0,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,simplenovel.png,,7,simple_utt,0
1589.1650000121444,1,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,complex.png,,7,complex_utt,0
14459.144999971613,NA,comment,,,,,Cause of the color scheme matching the alien ,7,,0
2264.369999989867,0,check,,,,,,7,,0
952.8550000395626,0,,,,,,,7,,0
4743.435000000347,1,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,simplenovel.png,,8,simple_utt,0
3045.910000000731,0,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,complex.png,,8,complex_utt,0
16075.26499999949,NA,comment,,,,,i think it was saying more detail with the longer sentence,8,,0
2150.2149999996764,0,check,,,,,,8,,0
2434.574999999255,0,,,,,,,8,,0
8035.044999996899,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,9,simple_utt,0
1648.8200000021607,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complex.png,,9,complex_utt,0
15806.324999997742,NA,comment,,,,,The longer sentence probably was a more complex object.,9,,0
2108.505000003788,0,check,,,,,,9,,0
1440.824999997858,0,,,,,,,9,,0
1943.924999999581,1,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,complex.png,,10,simple_utt,1
3394.7150000021793,0,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,simplenovel.png,,10,complex_utt,1
32491.150000001653,NA,comment,,,,,tobo,10,,0
4480.950000004668,0,check,,,,,,10,,0
1236.3849999965169,0,,,,,,,10,,0
4859.409999800846,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complex.png,,11,simple_utt,1
2511.265000095591,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,11,complex_utt,1
6813.139999983832,NA,comment,,,,,I was thinking the colors might match,11,,0
1458.1299999263138,0,check,,,,,,11,,0
831.1799999792129,0,,,,,,,11,,0
6495.024999996531,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complex.png,,12,simple_utt,1
6367.339999997057,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,12,complex_utt,1
21770.83500000299,NA,comment,,,,,based on their words length,12,,0
3251.185000000987,0,check,,,,,,12,,0
1080.934999990859,0,,,,,,,12,,0
5092.5899999565445,1,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,simplenovel.png,,13,simple_utt,0
1951.7350000096485,0,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,complex.png,,13,complex_utt,0
20248.039999976754,NA,comment,,,,,More complexity in speech for a more complex option,13,,0
2424.509999982547,0,check,,,,,,13,,0
1710.6649999623187,0,,,,,,,13,,0
3088.74000000651,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,14,simple_utt,0
1274.5749999885447,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complex.png,,14,complex_utt,0
15450.790000002598,NA,comment,,,,,The longer description seems like it would describe the more detailed object,14,,0
1306.8550000025425,0,check,,,,,,14,,0
910.4999999981374,0,,,,,,,14,,0
5658.280000090599,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,15,simple_utt,0
1337.88500004448,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complex.png,,15,complex_utt,0
6150.170000037178,NA,comment,,,,,color coordination,15,,0
1789.229999994859,0,check,,,,,,15,,0
1089.7499998100102,0,,,,,,,15,,0
10278.045000042766,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complex.png,,16,complex_utt,0
5878.389999968931,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,16,simple_utt,0
44768.54499988258,NA,comment,,,,,The pink one seem to describe the colorful object while the other probably said something simpler like blue.,16,,0
4243.39499999769,0,check,,,,,,16,,0
3022.7599998470396,0,,,,,,,16,,0
65840.00000008382,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,17,simple_utt,0
5378.000000026077,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complex.png,,17,complex_utt,0
21675.000000046566,NA,comment,,,,,INTRESTED,17,,0
5243.999999947846,2,check,,,,,,17,,0
3980.9999999124557,0,,,,,,,17,,0
6569.439999999988,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,18,simple_utt,0
1786.1349999998201,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complex.png,,18,complex_utt,0
42062.33999999994,NA,comment,,,,,The shorter word seemed to apply to the less complex item and the longer phrase seem to correspond with the the more colorful complex item. ,18,,0
7537.060000000114,0,check,,,,,,18,,0
6847.3949999999895,0,,,,,,,18,,0
3835.829999996349,0,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,complex.png,,19,simple_utt,1
7285.1299999747425,0,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,simplenovel.png,,19,simple_utt,0
23792.674999916926,NA,comment,,,,,because the briefing led me to believe those choices were correct,19,,0
3071.375000057742,0,check,,,,,,19,,0
1013.4250000119209,0,,,,,,,19,,0
54054.00000000009,1,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,simplenovel.png,,20,simple_utt,0
4419.000000000087,1,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,complex.png,,20,simple_utt,1
46425.99999999994,NA,comment,,,,,my best guess,20,,0
3842.9999999998254,0,check,,,,,,20,,0
1974.0000000001455,0,,,,,,,20,,0
7902.76999999992,0,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,complex.png,,21,complex_utt,0
1548.0500000001011,1,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,simplenovel.png,,21,simple_utt,0
4993.695000000116,NA,comment,,,,,Due to response length.,21,,0
1304.5399999998554,0,check,,,,,,21,,0
456.2599999999293,0,,,,,,,21,,0
8676.029999973252,0,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,complex.png,,22,complex_utt,0
2780.3399999975227,1,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,simplenovel.png,,22,simple_utt,0
28112.469999992754,NA,comment,,,,,"I had no way to choose, either statement could have referred to either object",22,,0
2281.8450000486337,0,check,,,,,,22,,0
1129.769999999553,0,,,,,,,22,,0
9006.71000010334,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,23,simple_utt,0
1765.665000071749,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complex.png,,23,complex_utt,0
14546.850000042468,NA,comment,,,,,"I tried to imagine what syllables each toy might have, and chose based on that.",23,,0
2107.880000025034,0,check,,,,,,23,,0
911.3699998706579,0,,,,,,,23,,0
12246.785000199452,1,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,complex.png,,24,complex_utt,0
4017.4849999602884,1,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,simplenovel.png,,24,complex_utt,1
74988.85000008158,NA,comment,,,,,It was better than other.,24,,0
95.41000006720424,1,check,,,,,,24,,0
5184.850000077859,0,,,,,,,24,,0
12337.054999999964,1,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,simplenovel.png,,25,simple_utt,0
3560.059999999794,1,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,complex.png,,25,simple_utt,1
12810.130000001664,NA,comment,,,,,they had rougly the same color scheme,25,,0
1415.4000000016822,0,check,,,,,,25,,0
2048.819999999978,0,,,,,,,25,,0
5223.17499993369,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,26,simple_utt,0
2484.180000028573,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complex.png,,26,complex_utt,0
35954.35999997426,NA,comment,,,,,Because of the length of what their speech. I assumed the more complex shape would require more words to describe.,26,,0
1654.9450000748038,0,check,,,,,,26,,0
1270.7199999131262,0,,,,,,,26,,0
7310.510000000257,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complex.png,,27,complex_utt,0
6530.95499999926,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,27,simple_utt,0
10988.42000000058,NA,comment,,,,,The color of the item.,27,,0
2434.559999999692,0,check,,,,,,27,,0
1639.0449999998964,0,,,,,,,27,,0
4774.219999904744,0,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,complex.png,,28,complex_utt,0
2139.2099999357015,1,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,simplenovel.png,,28,simple_utt,0
18982.420000014827,NA,comment,,,,,"the longer name described the multicolor object, which is also more complex",28,,0
2064.994999906048,0,check,,,,,,28,,0
961.4300000248477,0,,,,,,,28,,0
4358,0,obj_selection,simple_utt,complex_utt,img/novelbox4c.png,simplenovel.png,,29,simple_utt,0
3262,1,obj_selection,simple_utt,complex_utt,img/novelbox4c.png,complex.png,,29,complex_utt,0
19418,NA,comment,,,,,The complixity of the words and the stone that goes with it.,29,,0
2206,0,check,,,,,,29,,0
1117,0,,,,,,,29,,0
6893.809999979567,1,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,simplenovel.png,,30,simple_utt,0
3715.7099999894854,0,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,complex.png,,30,complex_utt,0
40177.28500001249,NA,comment,,,,,The shorter description for the simpler item.,30,,0
3182.3199999926146,0,check,,,,,,30,,0
2044.209999992745,0,,,,,,,30,,0
23337.999999988824,1,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,complex.png,,31,complex_utt,0
10748.999999952503,0,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,simplenovel.png,,31,simple_utt,0
36851.9999999553,NA,comment,,,,,Text size,31,,0
3457.0000000530854,0,check,,,,,,31,,0
1586.0000000102445,0,,,,,,,31,,0
