rt,button_pressed,test_part,left_utt,right_utt,box,obj,responses,subid,selected_utt,accuracy
5760.48500003526,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complexnovel.png,,1,simple_utt,1
2341.009999974631,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,1,complex_utt,1
8522.47999998508,NA,comment,,,,,Just random.,1,,0
3756.0900000389665,0,check,,,,,,1,,0
1285.5499999714084,0,,,,,,,1,,0
5933.4999999264255,0,obj_selection,simple_utt,complex_utt,img/novelbox4b.png,complexnovel.png,,2,simple_utt,1
1410.7050000457093,0,obj_selection,simple_utt,complex_utt,img/novelbox4b.png,simplenovel.png,,2,simple_utt,0
20143.434999976307,NA,comment,,,,,BADO MEP,2,,0
5389.665000024252,1,check,,,,,,2,,0
1287.9350000293925,0,,,,,,,2,,0
21366.299999994226,0,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,complexnovel.png,,3,complex_utt,0
10917.099999962375,1,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,simplenovel.png,,3,simple_utt,0
61864.39999996219,NA,comment,,,,,The first said I'm taking this and you can have that one. The other one say ok no problem. ,3,,0
4214.099999982864,0,check,,,,,,3,,0
1491.9000000227243,0,,,,,,,3,,0
4981.745000055525,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complexnovel.png,,4,complex_utt,0
4544.9749999679625,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,4,complex_utt,1
11602.134999993723,NA,comment,,,,,how many words did he say,4,,0
2731.3800000119954,1,check,,,,,,4,,0
1631.104999978561,0,,,,,,,4,,0
15781.644999980927,1,obj_selection,simple_utt,complex_utt,img/novelbox4b.png,complexnovel.png,,5,complex_utt,0
5580.864999908954,0,obj_selection,simple_utt,complex_utt,img/novelbox4b.png,simplenovel.png,,5,simple_utt,0
8238.94999991171,NA,comment,,,,,chance,5,,0
1502.0549998153,0,check,,,,,,5,,0
994.2349998746067,0,,,,,,,5,,0
15438.519999999698,1,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,simplenovel.png,,6,complex_utt,1
7816.624999999476,1,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,complexnovel.png,,6,complex_utt,0
57693.60500000039,NA,comment,,,,,I tried to match their appearance with what they lost ,6,,0
2978.199999999575,0,check,,,,,,6,,0
1593.8999999998487,0,,,,,,,6,,0
27404.19999998994,0,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,complexnovel.png,,7,complex_utt,0
2920.8999999973457,0,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,simplenovel.png,,7,complex_utt,1
6972.399999998743,NA,comment,,,,,Boo,7,,0
2056.1000000016065,2,check,,,,,,7,,0
1069.6000000025379,0,,,,,,,7,,0
19371.849999995902,0,obj_selection,simple_utt,complex_utt,img/novelbox4b.png,complexnovel.png,,8,simple_utt,1
14175.999999977648,1,obj_selection,simple_utt,complex_utt,img/novelbox4b.png,simplenovel.png,,8,complex_utt,1
23886.16999995429,NA,comment,,,,,"Just guessing, could not be sure",8,,0
1891.8099999427795,0,check,,,,,,8,,0
1504.2949999915436,0,,,,,,,8,,0
8374.580000061542,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,9,simple_utt,0
2629.224999807775,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complexnovel.png,,9,complex_utt,0
