rt,button_pressed,test_part,utt,boxes_type,left_box,right_box,responses,subid,selected_box,accuracy
723.1600000013714,0,box_selection,simple_utt,num_objects,box_2,box_1,,37,box_2,0
848.9550000012969,0,box_selection,complex_utt,num_objects,box_2,box_1,,37,box_2,1
5259.534999997413,NA,comment,,,,,i like it,37,,0
3805.999999982305,0,box_selection,simple_utt,num_objects,box_1,box_2,,38,box_1,1
23471.000000019558,0,box_selection,complex_utt,num_objects,box_1,box_2,,38,box_1,0
35635.999999940395,NA,comment,,,,,because that is correct,38,,0
5732.645000000048,0,box_selection,complex_utt,num_objects,box_1,box_2,,39,box_1,0
2750.605000000185,1,box_selection,simple_utt,num_objects,box_1,box_2,,39,box_2,0
34545.47000000003,NA,comment,,,,,Ther is many round on the box so i belive this is right,39,,0
9604.495000094175,0,box_selection,simple_utt,num_objects,box_1,box_2,,40,box_1,1
3503.569999942556,1,box_selection,complex_utt,num_objects,box_1,box_2,,40,box_2,1
22590.53499996662,NA,comment,,,,,I think the longer response was connected to seeing the box with more stuff inside.,40,,0
45631.640000035986,1,box_selection,complex_utt,num_objects,box_1,box_2,,41,box_2,1
3118.1300000753254,0,box_selection,simple_utt,num_objects,box_1,box_2,,41,box_1,1
21151.259999955073,NA,comment,,,,,"The longer the sentence, the more objects in the box",41,,0
5883.305000024848,1,box_selection,complex_utt,num_objects,box_1,box_2,,42,box_2,1
4332.6949999900535,0,box_selection,simple_utt,num_objects,box_1,box_2,,42,box_1,1
39944.02000005357,NA,comment,,,,,"The box with a lot of objects inside seemed like a more complex thing, so the longer statement seemed like it might make more sense if he was talking about that one",42,,0
24059.979999961797,1,box_selection,complex_utt,num_types,box_2,box_1,,43,box_1,0
3817.009999998845,1,box_selection,simple_utt,num_types,box_2,box_1,,43,box_1,1
57794.779999996535,NA,comment,,,,,I chose the right box because it shows objects of the same shapes and color and I think that's easier for Dax to recognize and choose.,43,,0
12107.160000014119,1,box_selection,simple_utt,num_objects,box_2,box_1,,44,box_1,1
2564.005000051111,1,box_selection,complex_utt,num_objects,box_2,box_1,,44,box_1,0
10039.459999999963,NA,comment,,,,,2,44,,0
1820.0000000651926,1,box_selection,complex_utt,num_objects,box_1,box_2,,45,box_2,1
4042.000000132248,1,box_selection,simple_utt,num_objects,box_1,box_2,,45,box_2,0
15986.99999996461,NA,comment,,,,,verl likre box,45,,0
6546.794999972917,0,box_selection,complex_utt,num_types,box_1,box_2,,55,box_1,0
2116.7099999729544,1,box_selection,simple_utt,num_types,box_1,box_2,,55,box_2,0
36422.720000031404,NA,comment,,,,,very nice box,55,,0
4332.649999996647,0,box_selection,simple_utt,num_objects,box_1,box_2,,56,box_1,1
1689.3599999602884,1,box_selection,complex_utt,num_objects,box_1,box_2,,56,box_2,1
30309.81999996584,NA,comment,,,,,I think the shorter sentence means \two\ and the other one means there are more in here so should be longer,56,,0
51635.00000000931,0,box_selection,complex_utt,num_types,box_1,box_2,,57,box_1,0
