rt,button_pressed,test_part,left_utt,right_utt,box,obj,responses,subid,selected_utt,accuracy
6073.714999947697,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,1,simple_utt,0
6677.519999910146,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complexnovel.png,,1,complex_utt,0
48176.500000059605,NA,comment,,,,,"Actually, I chose backwards from what I should have, now that I think about it. The unusual object could probably be described simply, while the other needed to be told apart from those it was similar to.",1,,0
2121.7199999373406,0,check,,,,,,1,,0
1545.1650000177324,0,,,,,,,1,,0
3826.7549999873154,0,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,complexnovel.png,,2,complex_utt,0
2376.9000000029337,1,obj_selection,complex_utt,simple_utt,img/novelbox4d.png,simplenovel.png,,2,simple_utt,0
74215.39000002667,NA,comment,,,,,both could be descriptions of the lost items.,2,,0
2826.90499999444,0,check,,,,,,2,,0
2193.05999999051,0,,,,,,,2,,0
10056.250000023283,1,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,complexnovel.png,,3,simple_utt,1
2410.150000010617,0,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,simplenovel.png,,3,complex_utt,1
50511.765000002924,NA,comment,,,,,I randomly chose which alien was looking for what but I made sure to choose a different alien for each object. ,3,,0
2630.040000018198,0,check,,,,,,3,,0
864.5900000119582,0,,,,,,,3,,0
17038.700000000972,1,obj_selection,simple_utt,complex_utt,img/novelbox4c.png,simplenovel.png,,4,complex_utt,1
1887.299999998504,0,obj_selection,simple_utt,complex_utt,img/novelbox4c.png,complexnovel.png,,4,simple_utt,1
33868.59999999797,NA,comment,,,,,I thought that the one that was most different from the others could be described in fewer words.,4,,0
2174.1000000001804,0,check,,,,,,4,,0
1493.2000000007974,0,,,,,,,4,,0
101621,1,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,simplenovel.png,,5,simple_utt,0
4150.000000000058,1,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,complexnovel.png,,5,simple_utt,1
35007,NA,comment,,,,,Somewhat similar appearance and color. ,5,,0
5739,0,check,,,,,,5,,0
12317.999999999942,0,,,,,,,5,,0
27136.000000173226,0,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,simplenovel.png,,6,complex_utt,1
4921.000000089407,1,obj_selection,complex_utt,simple_utt,img/novelbox4c.png,complexnovel.png,,6,simple_utt,1
90657.99999982119,NA,comment,,,,,I think that this alien is correct.,6,,0
4145.999999949709,0,check,,,,,,6,,0
1868.999999947846,0,,,,,,,6,,0
16337.035000091419,1,obj_selection,simple_utt,complex_utt,img/novelbox4c.png,simplenovel.png,,7,complex_utt,1
4683.819999918342,1,obj_selection,simple_utt,complex_utt,img/novelbox4c.png,complexnovel.png,,7,complex_utt,0
34588.67500000633,NA,comment,,,,,I felt that he needed to provide more information if he was seeking a lost item and would need to clarify it from the other items.,7,,0
1540.7400000840425,0,check,,,,,,7,,0
797.1450001932681,0,,,,,,,7,,0
20886,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complexnovel.png,,8,complex_utt,0
18584,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,8,simple_utt,0
43528,NA,comment,,,,,I figured the first alien lost the unique item because he used the most words in his phrase.,8,,0
2328,0,check,,,,,,8,,0
1426,0,,,,,,,8,,0
7159.99999968335,1,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,complexnovel.png,,9,simple_utt,1
2762.9999998025596,0,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,simplenovel.png,,9,complex_utt,1
23114.000000059605,NA,comment,,,,,likely,9,,0
3162.9999997094274,0,check,,,,,,9,,0
1480.999999679625,0,,,,,,,9,,0
3255.2249999999985,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,10,simple_utt,0
3210.1749999999374,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complexnovel.png,,10,complex_utt,0
12077.830000000067,NA,comment,,,,,Pink,10,,0
1534.655000000057,0,check,,,,,,10,,0
2353.265000000072,0,,,,,,,10,,0
17906.99999994831,0,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,simplenovel.png,,11,simple_utt,0
1048.9999999990687,0,obj_selection,simple_utt,complex_utt,img/novelbox4d.png,complexnovel.png,,11,simple_utt,1
7119.000000006054,NA,comment,,,,,wonderful,11,,0
3179.0000000037253,0,check,,,,,,11,,0
2716.000000014901,0,,,,,,,11,,0
10071.274999994785,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,12,simple_utt,0
2112.8350000362843,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complexnovel.png,,12,complex_utt,0
53002.92499997886,NA,comment,,,,,I associated the aliens colors with the objects in the box,12,,0
1939.7100000060163,0,check,,,,,,12,,0
1007.6549999648705,0,,,,,,,12,,0
3368.4849999990547,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complexnovel.png,,13,complex_utt,0
1916.1999999996624,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,13,simple_utt,0
21471.700000001874,NA,comment,,,,,THE ALIENS FOCUS ON SO I CHOICE,13,,0
3192.9200000013225,0,check,,,,,,13,,0
1751.6899999973248,0,,,,,,,13,,0
15975.61000008136,0,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,simplenovel.png,,14,complex_utt,1
4830.680000130087,1,obj_selection,complex_utt,simple_utt,img/novelbox4a.png,complexnovel.png,,14,simple_utt,1
19756.849999772385,NA,comment,,,,,Just guessed,14,,0
4092.3850000835955,0,check,,,,,,14,,0
1920.5200001597404,0,,,,,,,14,,0
14758.690000000002,1,obj_selection,simple_utt,complex_utt,img/novelbox4b.png,simplenovel.png,,15,complex_utt,1
9690.325000000012,1,obj_selection,simple_utt,complex_utt,img/novelbox4b.png,complexnovel.png,,15,complex_utt,0
26590.03,NA,comment,,,,,He was the second alien,15,,0
6262.139999999985,0,check,,,,,,15,,0
2150.939999999973,0,,,,,,,15,,0
7764.020000002347,0,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,simplenovel.png,,16,complex_utt,1
2317.604999996547,1,obj_selection,complex_utt,simple_utt,img/novelbox4b.png,complexnovel.png,,16,simple_utt,1
35304.88000000332,NA,comment,,,,,It seemed like one said they lost an item and the other said theirs was a different color.,16,,0
2083.9500000001863,0,check,,,,,,16,,0
1837.679999996908,0,,,,,,,16,,0
13937.699999980396,0,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,simplenovel.png,,17,simple_utt,0
5096.699999994598,1,obj_selection,simple_utt,complex_utt,img/novelbox4a.png,complexnovel.png,,17,complex_utt,0
62008.900000015274,NA,comment,,,,,"The pink object stood out and seemed more complicated so the more wordy alien, I gave it to them.  The blue object seemed simpler so I gave it to the alien of few words.",17,,0
